Variable,EMS_Code,Use,Media,Days,Samples,Notes,Phototoxic,Condition,MinimumLimit,MaximumLimit,Units,Statistic,WQG_Type,Reference,Reference Link,Overview Report Link,Technical Document Link
Alkalinity (total CaCO3),"D102, 1102, 0102, AK-T",Aquatic Life - Freshwater,Water,30,5,Waterbody is moderately sensitive to acid inputs (4-8 mg/L dissolved calcium). Sensitivity to acid inputs can be determined by the concentration of dissolved calcium: < 4 mg/L is highly sensitive to acid inputs; 4 to 8 mg/L is moderately sensitive; and > 8 mg/L is low sensitivity.,,,,20,mg/L,mean,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p.",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
Aluminum Dissolved,AL-D,Aquatic Life - Freshwater,Water,1,,,,EMS_0004 >= 6.5,,0.1,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
Aluminum Dissolved,AL-D,Aquatic Life - Freshwater,Water,1,,,,EMS_0004 < 6.5,,exp(1.209 - 2.426 * EMS_0004 + 0.286 * EMS_0004^2),mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
Aluminum Dissolved,AL-D,Aquatic Life - Freshwater,Water,30,5,,,EMS_0004 >= 6.5,,0.05,mg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
Aluminum Dissolved,AL-D,Aquatic Life - Freshwater,Water,30,5,,,EMS_0004 < 6.5,,exp(1.6 - 3.327 * EMS_0004 + 0.402 * EMS_0004^2),mg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
Aluminum Total,AL-T,Drinking Water,Water,1,,,,,,9.5,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
Aluminum Total,AL-T,Agriculture - Irrigation,Water,1,,,,,,5,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
Aluminum Total,AL-T,Agriculture - Livestock,Water,1,,,,,,5,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
Aluminum Total,AL-T,Wildlife,Water,1,,,,,,5,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
Ammonia Total,108,Aquatic Life - Freshwater,Water,1,,,,0<= EMS_0013 & EMS_0013 <= 20 & 6.5 <= EMS_0004 & EMS_0004 <8,,((0.52/(10^(0.03*(20-EMS_0013)))/((1+10^(7.4-EMS_0004))/1.25)/2*0.822)*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
Ammonia Total,108,Aquatic Life - Freshwater,Water,1,,,,0<= EMS_0013 <= 20 & 8 <= EMS_0004 <=9,,((0.52/(10^(0.03*(20-EMS_0013)))/2*0.822)*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
Ammonia Total,108,Aquatic Life - Freshwater,Water,30,5,,,0<= EMS_0013 & EMS_0013 < 15 & 6.5 <= EMS_0004 & EMS_0004 < 7.7,,(0.8/(10^(0.03*(20-EMS_0013)))/((1+10^(7.4-EMS_0004))/1.25)/((24*10^(7.7-EMS_0004))/(1+10^(7.4-EMS_0004)))*0.822*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),mg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
Ammonia Total,108,Aquatic Life - Freshwater,Water,30,5,,,0<= EMS_0013 & EMS_0013 < 15 & 7.7 <= EMS_0004 & EMS_0004 < 8,,(0.8/(10^(0.03*(20-EMS_0013)))/((1+10^(7.4-EMS_0004))/1.25)/16*0.822*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),mg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
